Time,X,Y,Theta,Linear Velocity,Angular Velocity
6.5,-2.1627707567,-0.5744734709,-0.0720569595,0.0250053164,7.72687690187013E-06
6.532999936,-2.2347876353,-0.1207651224,-0.0105969295,0.0300053731,8.08837467047852E-06
6.565999872,-1.9932584715,-0.3803321444,-0.0397029192,0.0300052445,1.18104608191061E-05
6.600000256,-2.1438323211,-0.9902530133,0.0518000881,0.030005252,1.212113420479E-05
6.633000192,-2.121684276,-0.2984729079,-0.1224421774,0.0300052539,1.21886714623543E-05
6.666000128,-2.0890174567,0.0656283521,-0.1196815277,0.0300052557,1.22400706459302E-05
6.7,-2.0560099049,-0.3741781325,-0.0894475867,0.0300052576,1.22921464935644E-05
6.732999936,-1.7749731414,-0.7047189265,0.0526237891,0.0300052594,1.23429108498385E-05
6.765999872,-2.1939394474,-0.343172259,-0.0534622775,0.0300052613,0.000012394
6.799999744,-1.8519351446,-0.3663492363,0.0592023523,0.0300052632,1.24469115689863E-05
6.833000192,-1.9908940938,-0.3203938749,-0.1585597498,0.0300052632,1.24986054288456E-05
6.866000128,-2.066950702,-0.6649188564,-0.057345882,0.030005265,1.25506121548824E-05
6.9,-2.0956882939,-0.5664167785,-0.1247524954,0.0300052669,1.26045242723194E-05
6.932999936,-2.1212797558,-0.6997303733,0.2440387183,0.0300052688,1.26571731016156E-05
6.965999872,-2.0192805602,-0.4325066216,0.128690619,0.0350054167,9.7540951173869E-06
7.000000256,-2.031371098,-0.6975625272,0.0034060434,0.0400053971,1.08951380752842E-05
7.033000192,-2.2871533901,-0.4568871908,0.0964882697,0.0400053114,1.44078121593338E-05
7.066000128,-2.0269756359,-0.7847416687,0.0467782003,0.0400053188,0.000014736
7.1,-2.1485911916,-0.6652720329,0.0339027839,0.0400053225,1.48442186400644E-05
7.132999936,-1.9404726737,-0.3403520161,0.04478264,0.0400053225,1.49337456605281E-05
7.165999872,-1.8660229962,-0.3819955087,-0.1284733285,0.0400053263,1.50228888742276E-05
7.198999808,-1.6557281519,-0.7564932119,-0.0624353795,0.04000533,1.51154654304264E-05
7.233000192,-1.7115392432,-0.1822209544,0.0302874899,0.0400053337,1.52060538312071E-05
7.266000128,-1.5981409469,-0.2747967777,-0.0616606963,0.0400053337,1.52973771037068E-05
7.3,-1.7546273577,-0.200815245,-0.0969510146,0.0400053374,1.53922446770594E-05
7.333999872,-1.7747960213,-0.4304980493,0.019384528,0.0400053412,1.54850822582375E-05
7.365999872,-1.9770364449,-0.5399091404,0.1254095901,0.0400053449,1.55786747200182E-05
7.400000256,-2.2567556246,-0.7137593599,0.0112102529,0.0400053449,1.56759015226271E-05
7.433000192,-1.9571375234,-0.3958596632,-0.0752195191,0.0400053486,0.000015771
7.466000128,-2.2034801593,0.0573616886,0.0450117485,0.0400053523,1.58669081429252E-05
7.499000064,-1.535094588,-0.4674148368,-0.053998425,0.0400053561,1.59664523380343E-05
7.532,-1.8093743426,-0.9291358055,0.050523074,0.0400053598,1.60638646775624E-05
7.565999872,-1.9697486208,-0.6425221779,-0.1808450975,0.0450055115,1.33513340188074E-05
7.599999744,-2.1229784096,-0.7706663189,0.0226773139,0.0450053811,1.71431129274424E-05
7.631999744,-1.7762195912,-0.5261901857,0.0552647829,0.050005544,1.47015789480065E-05
7.666000128,-2.1904005619,-0.197239022,0.0087552283,0.0500054136,1.85318040166749E-05
7.7,-1.8050119162,-0.4208360922,-0.0591242533,0.0500054248,1.89444144780282E-05
7.732999936,-2.0378106954,-0.3426701984,0.0167935867,0.0500054285,0.000019114
7.765999872,-1.5780955546,-0.3579898828,0.0028550711,0.0500054322,1.92690677067731E-05
7.800000256,-2.1175477156,-0.1545042451,-0.08742351,0.0500054359,1.94293879758334E-05
7.833000192,-1.536841947,-0.5498904239,0.1362372172,0.0500054397,1.9586572307162E-05
7.866000128,-1.7368312117,-0.4936978025,-0.139142373,0.0600060076,0.000013179
7.9,-1.8695505124,-0.700027684,0.0036636072,0.0650056079,1.97447570826625E-05
7.933999872,-1.845177784,-0.4587946969,0.1106184302,0.0700056851,2.10967264138162E-05
7.965999872,-2.027206476,-0.393119997,-0.01660824,0.0750057176,0.000022691
7.999999744,-1.6021572633,-0.4386496851,-0.1561730644,0.0750055909,2.70441887550987E-05
8.033000192,-2.3146036482,-0.1557172564,-0.0481230419,0.080005765,2.48931137321051E-05
8.066000128,-1.6088051385,-0.5531504883,0.0674715417,0.0800056309,2.91747510345886E-05
8.099000064,-2.2199198195,-0.5234066963,-0.1145852576,0.0800056458,2.98676695820177E-05
8.132999936,-2.2743109688,-0.223817366,-0.0117124376,0.0800056532,3.03074593830388E-05
8.164999936,-1.7334423436,-0.1875021846,0.1379293711,0.0476644486,9.01558451005258E-06
8.200000256,-1.6233591022,-0.5631231599,-0.0011479947,0.0483345427,1.82787935045781E-05
8.233000192,-2.0703255875,-0.5301396197,-0.0368129596,0.0775799751,3.51622002199292E-05
8.266000128,-1.9530062463,-0.5847996812,-0.0554128076,0.1068316102,4.62228963442612E-05
8.3,-2.2739594009,-0.7290971279,0.0975947783,0.1100058779,3.6805184208788E-05
8.332999936,-1.7155596509,-0.5585251627,-0.1652705752,0.1150060371,3.9775091863703E-05
8.365000448,-1.7097550788,-0.5640154398,0.0573874635,0.120006077,4.24064346589148E-05
8.399999744,-1.4526785943,-0.5298349573,0.1098501759,0.1200059429,4.78313995699864E-05
8.433000192,-1.6425721911,-0.6271466571,-0.1015232086,0.1250061393,0.000046473
8.465999616,-2.1089544945,-0.3923733397,-0.0725827626,0.1300061792,4.9333153583575E-05
8.499999488,-2.1880700855,-0.3204262295,-0.0120089069,0.1300060302,5.51321973034646E-05
8.532999936,-2.0520570617,-0.4377198495,0.0194549231,0.1300060451,5.67499337194022E-05
8.566000384,-1.6337261144,-0.813358273,0.1471224943,0.13000606,5.81427084398456E-05
8.600000256,-1.6733608102,-0.4067904785,-0.0047726665,0.13000606,5.68001705687493E-05
8.63299968,-1.8173507631,-0.3564244238,0.1420363605,0.13000606,5.67815404792782E-05
8.666000128,-1.9916379369,-0.6778851057,-0.0464629691,0.13000606,5.67699171369895E-05
8.7,-2.0697048788,-0.740924844,0.1010676196,0.13000606,5.67575407330878E-05
8.733000448,-1.6472860251,-0.5721291109,0.1521528473,0.13000606,5.67452480026986E-05
8.765999872,-1.9009508859,-0.0806916875,-0.0683802805,0.1300060451,5.67325769225135E-05
8.799999744,-2.0428998273,-0.5159501935,0.0227500832,0.1300060451,0.000056719
8.833000192,-1.7902021053,-0.84592787,0.0268929297,0.1300060451,5.67053502891213E-05
8.865999616,-1.7266603894,-0.4983278088,-0.0266718855,0.1300060451,5.66910784982611E-05
8.900000512,-1.8780936521,-0.5058792691,0.0563990884,0.1300060451,5.66757225897163E-05
8.932999936,-1.9126424189,-0.6036564697,0.0749660838,0.1300060451,5.66601847822312E-05
8.966000384,-1.8952710414,-0.5594723116,0.0850071897,0.1300060302,0.000056644
9.000000256,-2.0840325,-0.4920283089,-0.0916478958,0.1300060302,5.66267481190152E-05
9.032000256,-1.8477748717,-0.671305869,-0.0140652061,0.1300060302,5.66094167879783E-05
9.06499968,-1.7564625406,-0.5272266459,0.0865093151,0.1300060302,5.65915725019295E-05
9.098999552,-1.7533394,-0.3648812259,-0.0998248339,0.1300060302,5.65727204957511E-05
9.133000448,-1.6870251223,-0.6219643132,-0.0354179481,0.1300060302,0.000056554
9.165999872,-1.5346112387,-0.3774104148,0.1271346065,0.1300060302,0.000056535
9.19900032,-1.9213972744,-0.2803719864,-0.0529628551,0.1300060302,5.65151058253832E-05
9.233000192,-1.8870307358,-0.7881436289,0.0170509941,0.1300060302,5.64955771551468E-05
9.265999616,-1.6962775671,-0.5883650541,0.0319265162,0.1300060302,5.64758738619275E-05
9.299000064,-1.4920418555,-0.4284298408,-0.0067611246,0.1300060302,5.64573565497994E-05
9.331999488,-1.7423974106,-0.4188833768,0.1535869737,0.1300060302,5.64393521926831E-05
9.364999936,-1.5455065185,-0.5054483679,0.0594683025,0.1300060302,5.64212678000331E-05
9.400000256,-1.6799911174,-0.6512811772,-0.1889999761,0.1300060302,5.64025795029011E-05
9.43299968,-1.8044016947,-0.6368424309,0.0611418425,0.1300060302,5.63844077987596E-05
9.466000128,-1.8787424823,-0.7613239867,-0.1149559424,0.1300060302,5.63662288186606E-05
9.5,-1.8986592533,-0.334130477,0.0905893821,0.1300060302,5.63475150556769E-05
9.533000448,-1.3902323361,-0.5660626284,-0.0299374666,0.1300060302,5.63293942832388E-05
9.565999872,-1.7969156785,-0.5269008228,0.0284893647,0.1300060302,5.63113535463344E-05
9.599999744,-1.5886580405,-0.5651959864,0.2331492993,0.1300060302,5.62928980798461E-05
9.633000192,-1.5542789276,-0.0015238986,0.0423457112,0.1300060302,5.62751556572039E-05
9.665999616,-1.3780051404,-0.4295754518,0.0356958427,0.1300060302,5.62576424272265E-05
9.700000512,-1.5712497952,-0.2609124051,-0.1506425925,0.1300060302,5.62399000045843E-05
9.732999936,-1.2146945291,-0.1242949273,-0.0069221281,0.1300060302,0.000056223
9.766000384,-1.7773353741,-0.1505617056,0.065456439,0.1300060302,0.000056206
9.80099968,-1.7062171995,-0.6067964824,-0.0191678949,0.1300060302,5.61888155061752E-05
9.83299968,-2.0502261485,-0.4561139739,0.10879272,0.1300060302,5.61727392778266E-05
9.866000128,-1.55717861,-0.8864727426,-0.0159428384,0.1300060302,5.61572705919389E-05
9.9,-1.7676867592,-0.3509004171,0.0099755079,0.1300060302,0.000056142
9.932,-1.4880810147,-0.3703809184,-0.0617008106,0.1300060302,5.61278720851988E-05
