Time,LM_1_Range,LM_1_Bearing,LM_2_Range,LM_2_Bearing,LM_3_Range,LM_3_Bearing,LM_4_Range,LM_4_Bearing
22.400000768,nan,nan,2.6440646299,2.7426128674,0.3316160468,0.9311349649,3.1018421123,1.4347767484
22.433000192,nan,nan,3.1141401965,2.7091680252,0.4387416624,1.0013750996,2.8171425759,1.2315643359
22.465999616,nan,nan,2.7841811286,2.8228901973,0.6420039051,0.9846859363,2.9360077716,1.2866786555
22.500000512,nan,nan,2.7125245401,2.7011716467,0.4700076205,0.7452171967,3.1042942677,1.0978801009
22.53099904,nan,nan,2.8599472793,2.8041555392,0.5183549733,1.1125812048,3.00573515,1.4321340575
22.56599936,nan,nan,2.9352502117,2.8238716818,0.1539205724,1.2190391446,3.1379880355,1.2530908581
22.600000256,nan,nan,3.1418219236,2.9024516812,0.4144590604,1.0071821551,2.8445391274,1.1342331412
22.63299968,nan,nan,3.0402357669,2.7012117143,0.3585046798,1.0983319591,3.2171527831,1.3921336383
22.665999104,nan,nan,3.0420155645,2.7251999571,0.6336958218,0.8567390961,3.0681021573,1.0770417212
22.7,nan,nan,2.984435942,2.7106555604,0.5000820601,1.0517656672,2.9497142741,1.4530248172
22.732999424,nan,nan,3.3399724307,2.8963935791,0.3394599566,1.033951521,2.9982233422,1.3630553684
22.766000896,nan,nan,2.8098086922,2.6651622539,0.7418911713,0.8955306327,2.9621886348,1.1228464708
22.799999744,nan,nan,3.1750171353,2.5484356625,0.6881343488,1.0072395667,3.1782721503,1.2891199162
22.831999744,nan,nan,3.1904980012,2.7158347566,0.3739486609,1.0792369534,2.8732262609,1.2672046664
22.86600064,nan,nan,2.7537948683,2.6993314903,0.2383424527,1.1632690212,2.8732834182,1.1256538462
22.899999488,nan,nan,3.0918062403,2.6032705852,0.4055032007,1.0085359442,3.1006267007,1.2075012301
22.93300096,nan,nan,3.1446642056,2.5952263757,0.6155988058,1.0826507967,2.7711675817,1.3020372306
22.966000384,nan,nan,3.2833049005,2.7073656165,1.0608873815,1.2064345596,3.1111908906,1.2943342625
22.999999232,nan,nan,3.108541358,2.6915245885,0.2328344528,1.066701496,2.7519478515,1.1079669965
23.033000704,nan,nan,3.1562288612,2.6293937841,0.1254003602,1.2177781318,3.1064384105,1.2944811542
23.066000128,nan,nan,3.2650863785,2.7684190217,0.4948789479,1.177557951,2.6595795106,1.2976320429
23.100001024,nan,nan,2.9945459452,2.4423028576,0.3876740769,1.0861740147,2.8720788134,1.1253428486
23.133000448,nan,nan,2.9389669247,2.6603508626,0.340594458,1.0426713281,2.6606599899,1.2261120504
23.165999872,nan,nan,3.2231670047,2.678416938,0.5234966803,1.2108328839,2.6920952995,1.3409823388
23.200000768,nan,nan,2.7728310428,2.4711745436,0.4125516605,1.1022397514,2.839589211,1.1162614454
23.233000192,nan,nan,2.9805361358,2.5708603168,0.7012004875,1.0273459628,3.2402531641,1.0841877856
23.265999616,nan,nan,2.9188662091,2.5259264179,0.521646355,1.2278274235,2.9162137172,1.1170133715
23.300000512,nan,nan,2.6324981779,2.5738807555,0.3368967669,0.9396897103,3.2057452946,1.1294117704
23.332999936,nan,nan,2.7118553736,2.6493721845,0.5071655172,1.202479084,2.7530902308,1.090091743
23.36599936,nan,nan,3.323433572,2.2985517448,-0.0517959877,1.1659660626,3.2242198156,1.102695069
23.400000256,nan,nan,2.8783481254,2.4089108897,0.4047318738,1.1298630582,3.0485947746,1.0908451227
23.433999104,nan,nan,2.9129869584,2.5008470532,0.2680043006,1.0817297827,2.6438792804,1.0146700253
23.465999104,nan,nan,3.4021872839,2.4999911352,0.1026360131,1.1593261819,3.0034040306,0.9834275945
23.5,nan,nan,3.2255197763,2.3901049106,0.28209942,1.3037853395,2.5211129431,0.979823704
23.532999424,nan,nan,3.185352236,2.3405737265,-0.0750634413,1.3988254256,2.818728321,0.8133366913
23.566000896,nan,nan,3.0953229659,2.2717657888,0.7001173699,1.2132363338,2.625906381,0.9882165341
23.599999744,nan,nan,3.2193268869,2.3213265938,-0.1797459008,1.152458256,2.4280390717,0.8528788154
23.632999168,nan,nan,2.9728220043,2.3435608709,0.2392002197,1.2108686855,3.1225925409,1.0091334426
23.66600064,nan,nan,2.8769629619,2.2705608507,0.139729497,1.0355837922,2.8100342278,0.9374837428
23.699999488,nan,nan,2.9719169518,2.3463510105,0.4559547217,0.9876002567,2.7931581547,1.0928862512
23.73300096,nan,nan,3.2066254711,2.2649906125,0.2432332248,1.2169907626,2.8459555315,0.8682535827
23.766000384,nan,nan,3.4439004252,2.4748494324,0.3630047897,1.1554651183,2.695565114,0.8611421945
23.799999232,nan,nan,3.3447628596,2.4747908623,0.2622370811,1.2378903014,2.740717372,0.7749520135
23.833000704,nan,nan,2.8569744768,2.2596198037,-0.0040417154,1.1158182631,2.9902775489,0.8357530308
23.866000128,nan,nan,3.1451663833,2.1783316773,0.1176636744,1.1784070981,2.8113060882,0.8729924574
23.899998976,nan,nan,3.1294711719,2.2783833442,0.6240212271,1.2566693642,3.0924883285,0.7356551587
23.933000448,nan,nan,3.1302886114,2.3986130738,-0.008621336,1.0162810006,2.7518658247,0.9952496915
23.965999872,nan,nan,2.8367965585,2.2114608591,0.4577009173,1.2211352024,3.0670064241,0.9164043987
24.000000768,nan,nan,3.1452555816,2.269305651,0.7608628745,1.1843822201,3.1741871399,0.8753613417
24.033000192,nan,nan,2.9836000043,2.2872698373,0.4429077096,1.2556961792,2.6594203052,0.801755748
24.065999616,nan,nan,3.3779532779,2.2082025453,0.6473128184,1.0023997313,2.9590158421,0.7904036342
24.100000512,nan,nan,3.1217128966,2.2047512783,0.381964414,1.3624326646,3.0294588265,0.7668171931
24.132999936,nan,nan,3.1315791257,2.2682653252,0.4871751455,1.3412228543,2.551005576,0.8524084004
24.16599936,nan,nan,3.1044445982,2.0168497331,0.3548368732,1.2314768233,2.8459661565,0.75010946
24.200000256,nan,nan,2.9588036087,2.2230014876,0.3304920704,1.2557350173,2.7663182246,0.3593073211
24.233999104,nan,nan,3.2098289929,2.1081854256,0.6089218348,1.1239378725,2.8923780452,0.8099292466
24.265999104,nan,nan,3.1795525406,2.0290727453,0.2046963205,1.0938727269,2.7448643667,0.6192269886
24.3,nan,nan,nan,nan,0.2830527095,1.2549241762,2.6481967434,0.6139720178
24.332999424,nan,nan,3.2245377481,2.1225630916,0.1266062234,1.2015448007,2.8936099115,0.7273617351
24.366000896,nan,nan,3.0785904631,1.9928438666,0.2017418791,1.2591937364,2.7788717077,0.488502761
24.39900032,nan,nan,3.0994160115,1.9408275088,0.5117628401,1.2505506382,2.763652557,0.5642975731
24.432999168,nan,nan,nan,nan,0.3067046842,1.6061603821,2.4824650148,0.5396156429
