Time,Range,Bearing,Range,Bearing,Range,Bearing,Range,Bearing
5.233000192,0.8849680628,-2.3137705557,4.4765225319,-0.0170449249,nan,nan,3.3738940229,1.7351229593
5.266000128,0.7583868369,-2.4004101173,nan,nan,nan,nan,3.2709403199,1.6174697481
5.3,0.4657415678,-2.3274595666,nan,nan,nan,nan,2.7756233771,1.8226106686
5.332999936,0.1926972442,-2.4016180725,nan,nan,nan,nan,2.7556742078,1.7284478672
5.365999872,0.7047639399,-2.2984186036,4.136579283,-0.1778970605,nan,nan,2.7709122774,1.7088711141
5.400000256,0.7727257041,-2.4960214054,4.3673036813,-0.0120089233,nan,nan,2.7669711064,1.6220972716
5.433000192,0.5201632505,-2.3383108218,nan,nan,nan,nan,2.8682940245,1.6139147466
5.466000128,0.6301258675,-2.3232880889,4.2233775296,-0.0951517474,nan,nan,2.9989230554,1.8493787782
5.5,0.676756983,-2.4936361833,4.1288652053,-0.1374828418,nan,nan,3.2870430051,1.7764970939
5.532999936,0.8647162331,-2.3429716041,nan,nan,nan,nan,3.1185351617,1.453360115
5.565999872,0.2195549844,-2.2263714955,nan,nan,nan,nan,3.5177286581,1.5686113289
5.599999744,0.938462254,-2.2401935881,4.2324165444,-0.06864771,nan,nan,3.1099557881,1.7699428016
5.633000192,0.7859301639,-2.32561571,nan,nan,nan,nan,3.0898657576,1.6930683978
5.666000128,0.4433573474,-2.3115423865,4.3132373645,0.022774803,nan,nan,3.1691832137,1.7010742793
5.7,0.7196574272,-2.4192084559,nan,nan,nan,nan,2.5443351697,1.8104801667
5.732999936,0.852376217,-2.3495223549,nan,nan,nan,nan,3.5986036403,1.8147511468
5.765999872,1.0694085019,-2.3821075784,4.3600889211,-0.1210595916,nan,nan,2.9297475317,1.6790454713
5.801000192,0.6533856412,-2.3106559434,4.4015411498,-0.1603874257,nan,nan,3.0489263238,1.8825813123
5.833000192,1.0882537952,-2.3825565123,4.0770035109,-0.2243984252,nan,nan,3.4008606116,1.7010327665
5.867000064,0.4204897585,-2.4444830885,4.4881505728,-0.1308933999,nan,nan,2.7882518285,1.8296222898
5.9,-0.0269485962,-2.4067889318,4.3110677331,-0.0955856859,nan,nan,3.5793381535,1.6262628034
5.932999936,0.3970110825,-2.4240771145,nan,nan,nan,nan,2.8825164872,1.7855990084
5.965999872,0.7081825185,-2.5089491683,nan,nan,nan,nan,3.5855360454,1.9267839797
